competition_type,competition_name,country,gender,governing_body,first_season,last_season,tier,comp_url,seasons,season_end_year,seasons_urls,fixtures_url,is_completed,filter_out
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2022,2022,https://fbref.com/en/comps/1/World-Cup-Stats,https://fbref.com/en/comps/1/schedule/World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2018,2018,https://fbref.com/en/comps/1/2018/2018-World-Cup-Stats,https://fbref.com/en/comps/1/2018/schedule/2018-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2014,2014,https://fbref.com/en/comps/1/2014/2014-World-Cup-Stats,https://fbref.com/en/comps/1/2014/schedule/2014-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2010,2010,https://fbref.com/en/comps/1/2010/2010-World-Cup-Stats,https://fbref.com/en/comps/1/2010/schedule/2010-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2006,2006,https://fbref.com/en/comps/1/2006/2006-World-Cup-Stats,https://fbref.com/en/comps/1/2006/schedule/2006-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,2002,2002,https://fbref.com/en/comps/1/2002/2002-World-Cup-Stats,https://fbref.com/en/comps/1/2002/schedule/2002-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1998,1998,https://fbref.com/en/comps/1/1998/1998-World-Cup-Stats,https://fbref.com/en/comps/1/1998/schedule/1998-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1994,1994,https://fbref.com/en/comps/1/1994/1994-World-Cup-Stats,https://fbref.com/en/comps/1/1994/schedule/1994-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1990,1990,https://fbref.com/en/comps/1/1990/1990-World-Cup-Stats,https://fbref.com/en/comps/1/1990/schedule/1990-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1986,1986,https://fbref.com/en/comps/1/1986/1986-World-Cup-Stats,https://fbref.com/en/comps/1/1986/schedule/1986-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1982,1982,https://fbref.com/en/comps/1/1982/1982-World-Cup-Stats,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1978,1978,https://fbref.com/en/comps/1/1978/1978-World-Cup-Stats,https://fbref.com/en/comps/1/1978/schedule/1978-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1974,1974,https://fbref.com/en/comps/1/1974/1974-World-Cup-Stats,https://fbref.com/en/comps/1/1974/schedule/1974-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1970,1970,https://fbref.com/en/comps/1/1970/1970-World-Cup-Stats,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1966,1966,https://fbref.com/en/comps/1/1966/1966-World-Cup-Stats,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1962,1962,https://fbref.com/en/comps/1/1962/1962-World-Cup-Stats,https://fbref.com/en/comps/1/1962/schedule/1962-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1958,1958,https://fbref.com/en/comps/1/1958/1958-World-Cup-Stats,https://fbref.com/en/comps/1/1958/schedule/1958-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1954,1954,https://fbref.com/en/comps/1/1954/1954-World-Cup-Stats,https://fbref.com/en/comps/1/1954/schedule/1954-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1950,1950,https://fbref.com/en/comps/1/1950/1950-World-Cup-Stats,https://fbref.com/en/comps/1/1950/schedule/1950-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1938,1938,https://fbref.com/en/comps/1/1938/1938-World-Cup-Stats,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1934,1934,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA World Cup,NA,M,FIFA,1930,2022,1st,https://fbref.com/en/comps/1/history/World-Cup-Seasons,1930,1930,https://fbref.com/en/comps/1/1930/1930-World-Cup-Stats,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2017,2017,https://fbref.com/en/comps/666/FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/schedule/FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2013,2013,https://fbref.com/en/comps/666/2013/2013-FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/2013/schedule/2013-FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2009,2009,https://fbref.com/en/comps/666/2009/2009-FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/2009/schedule/2009-FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2005,2005,https://fbref.com/en/comps/666/2005/2005-FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/2005/schedule/2005-FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2003,2003,https://fbref.com/en/comps/666/2003/2003-FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/2003/schedule/2003-FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,FIFA Confederations Cup,NA,M,FIFA,2001,2017,NA,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,2001,2001,https://fbref.com/en/comps/666/2001/2001-FIFA-Confederations-Cup-Stats,https://fbref.com/en/comps/666/2001/schedule/2001-FIFA-Confederations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2024,2024,https://fbref.com/en/comps/218/Friendlies-M-Stats,https://fbref.com/en/comps/218/schedule/Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2023,2023,https://fbref.com/en/comps/218/2023/2023-Friendlies-M-Stats,https://fbref.com/en/comps/218/2023/schedule/2023-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2022,2022,https://fbref.com/en/comps/218/2022/2022-Friendlies-M-Stats,https://fbref.com/en/comps/218/2022/schedule/2022-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2021,2021,https://fbref.com/en/comps/218/2021/2021-Friendlies-M-Stats,https://fbref.com/en/comps/218/2021/schedule/2021-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2020,2020,https://fbref.com/en/comps/218/2020/2020-Friendlies-M-Stats,https://fbref.com/en/comps/218/2020/schedule/2020-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2019,2019,https://fbref.com/en/comps/218/2019/2019-Friendlies-M-Stats,https://fbref.com/en/comps/218/2019/schedule/2019-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2018,2018,https://fbref.com/en/comps/218/2018/2018-Friendlies-M-Stats,https://fbref.com/en/comps/218/2018/schedule/2018-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2017,2017,https://fbref.com/en/comps/218/2017/2017-Friendlies-M-Stats,https://fbref.com/en/comps/218/2017/schedule/2017-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2016,2016,https://fbref.com/en/comps/218/2016/2016-Friendlies-M-Stats,https://fbref.com/en/comps/218/2016/schedule/2016-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2015,2015,https://fbref.com/en/comps/218/2015/2015-Friendlies-M-Stats,https://fbref.com/en/comps/218/2015/schedule/2015-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,International Friendlies (M),NA,M,FIFA,2014,2024,NA,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,2014,2014,https://fbref.com/en/comps/218/2014/2014-Friendlies-M-Stats,https://fbref.com/en/comps/218/2014/schedule/2014-Friendlies-M-Scores-and-Fixtures,NA,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2023,2023,https://fbref.com/en/comps/656/Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/schedule/Africa-Cup-of-Nations-Scores-and-Fixtures,FALSE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2021,2021,https://fbref.com/en/comps/656/2021/2022-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2021/schedule/2022-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2019,2019,https://fbref.com/en/comps/656/2019/2019-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2019/schedule/2019-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2017,2017,https://fbref.com/en/comps/656/2017/2017-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2017/schedule/2017-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2015,2015,https://fbref.com/en/comps/656/2015/2015-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2015/schedule/2015-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2013,2013,https://fbref.com/en/comps/656/2013/2013-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2013/schedule/2013-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2012,2012,https://fbref.com/en/comps/656/2012/2012-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2012/schedule/2012-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,Africa Cup of Nations,NA,M,CAF,2010,2024,1st,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,2010,2010,https://fbref.com/en/comps/656/2010/2010-Africa-Cup-of-Nations-Stats,https://fbref.com/en/comps/656/2010/schedule/2010-Africa-Cup-of-Nations-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONCACAF Gold Cup,NA,M,CONCACAF,2015,2023,1st,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,2023,2023,https://fbref.com/en/comps/681/Gold-Cup-Stats,https://fbref.com/en/comps/681/schedule/Gold-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONCACAF Gold Cup,NA,M,CONCACAF,2015,2023,1st,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,2021,2021,https://fbref.com/en/comps/681/2021/2021-Gold-Cup-Stats,https://fbref.com/en/comps/681/2021/schedule/2021-Gold-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONCACAF Gold Cup,NA,M,CONCACAF,2015,2023,1st,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,2019,2019,https://fbref.com/en/comps/681/2019/2019-Gold-Cup-Stats,https://fbref.com/en/comps/681/2019/schedule/2019-Gold-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONCACAF Gold Cup,NA,M,CONCACAF,2015,2023,1st,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,2017,2017,https://fbref.com/en/comps/681/2017/2017-Gold-Cup-Stats,https://fbref.com/en/comps/681/2017/schedule/2017-Gold-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONCACAF Gold Cup,NA,M,CONCACAF,2015,2023,1st,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,2015,2015,https://fbref.com/en/comps/681/2015/2015-Gold-Cup-Stats,https://fbref.com/en/comps/681/2015/schedule/2015-Gold-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONMEBOL Copa América,NA,M,CONMEBOL,2015,2021,NA,https://fbref.com/en/comps/685/history/Copa-America-Seasons,2021,2021,https://fbref.com/en/comps/685/Copa-America-Stats,https://fbref.com/en/comps/685/schedule/Copa-America-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONMEBOL Copa América,NA,M,CONMEBOL,2015,2021,NA,https://fbref.com/en/comps/685/history/Copa-America-Seasons,2019,2019,https://fbref.com/en/comps/685/2019/2019-Copa-America-Stats,https://fbref.com/en/comps/685/2019/schedule/2019-Copa-America-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONMEBOL Copa América,NA,M,CONMEBOL,2015,2021,NA,https://fbref.com/en/comps/685/history/Copa-America-Seasons,2016,2016,https://fbref.com/en/comps/685/2016/2016-Copa-America-Stats,https://fbref.com/en/comps/685/2016/schedule/2016-Copa-America-Scores-and-Fixtures,TRUE,N
National Team Competitions,CONMEBOL Copa América,NA,M,CONMEBOL,2015,2021,NA,https://fbref.com/en/comps/685/history/Copa-America-Seasons,2015,2015,https://fbref.com/en/comps/685/2015/2015-Copa-America-Stats,https://fbref.com/en/comps/685/2015/schedule/2015-Copa-America-Scores-and-Fixtures,TRUE,N
National Team Competitions,OFC Nations Cup,NA,M,OFC,2007-2008,2016,1st,https://fbref.com/en/comps/257/history/OFC-Nations-Cup-Seasons,2016,2016,https://fbref.com/en/comps/257/OFC-Nations-Cup-Stats,https://fbref.com/en/comps/257/schedule/OFC-Nations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,OFC Nations Cup,NA,M,OFC,2007-2008,2016,1st,https://fbref.com/en/comps/257/history/OFC-Nations-Cup-Seasons,2007-2008,2008,https://fbref.com/en/comps/257/2007-2008/2007-2008-OFC-Nations-Cup-Stats,https://fbref.com/en/comps/257/2007-2008/schedule/2007-2008-OFC-Nations-Cup-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2024,2024,https://fbref.com/en/comps/676/European-Championship-Stats,https://fbref.com/en/comps/676/schedule/European-Championship-Scores-and-Fixtures,FALSE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2021,2021,https://fbref.com/en/comps/676/2021/2021-European-Championship-Stats,https://fbref.com/en/comps/676/2021/schedule/2021-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2016,2016,https://fbref.com/en/comps/676/2016/2016-European-Championship-Stats,https://fbref.com/en/comps/676/2016/schedule/2016-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2012,2012,https://fbref.com/en/comps/676/2012/2012-European-Championship-Stats,https://fbref.com/en/comps/676/2012/schedule/2012-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2008,2008,https://fbref.com/en/comps/676/2008/2008-European-Championship-Stats,https://fbref.com/en/comps/676/2008/schedule/2008-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2004,2004,https://fbref.com/en/comps/676/2004/2004-European-Championship-Stats,https://fbref.com/en/comps/676/2004/schedule/2004-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA European Football Championship,NA,M,UEFA,2000,2024,1st,https://fbref.com/en/comps/676/history/European-Championship-Seasons,2000,2000,https://fbref.com/en/comps/676/2000/2000-European-Championship-Stats,https://fbref.com/en/comps/676/2000/schedule/2000-European-Championship-Scores-and-Fixtures,TRUE,N
National Team Competitions,UEFA Nations League,NA,M,UEFA,2018-2019,2022-2023,NA,https://fbref.com/en/comps/677/history/UEFA-Nations-League-Seasons,2022-2023,2023,https://fbref.com/en/comps/677/UEFA-Nations-League-Stats,https://fbref.com/en/comps/677/schedule/UEFA-Nations-League-Scores-and-Fixtures,TRUE,N
