team,o_effect,o_sd,d_effect,d_sd,net_effect
Abkhazia,0.16533381803632324,0.21759906438912674,-0.6203938845286954,0.2838403218956284,0.7857277025650187
Afghanistan,-0.4589664639799217,0.15185048149486827,0.37823802802378076,0.13547166174781403,-0.8372044920037025
Åland Islands,-0.10437533344238115,0.2813372070620554,-0.023573508782708922,0.3007147163610384,-0.08080182465967223
Albania,0.09774643581027703,0.1193231006790197,-0.4591329882818083,0.11124787695566855,0.5568794240920854
Alderney,-0.4556235303225249,0.31249787714972654,0.9111325976040179,0.22364980629723177,-1.3667561279265428
Algeria,0.6057876822753578,0.08946230324277073,-0.5504416361979327,0.11583015046053229,1.1562293184732906
American Samoa,-1.0402475936864315,0.29468007360489695,1.672118098581597,0.16527827615494017,-2.712365692268029
Andalusia,0.2726735161048696,0.4395041397027802,-0.16561933988752028,0.5297413263246116,0.4382928559923899
Andorra,-0.8877363620130203,0.18441252631605648,0.2011004246723437,0.09475170366962013,-1.088836786685364
Angola,0.05562383741206353,0.11945966622102339,-0.3449627304786418,0.12312267027828046,0.40058656789070535
Anguilla,-1.2741041430741178,0.2616318111053669,1.4044541670607984,0.1270402543517667,-2.678558310134916
Antigua and Barbuda,-0.23186954698532572,0.14037978378864438,0.41354312996020304,0.1310749661398173,-0.6454126769455287
Arameans Suryoye,0.1167067139517191,0.37898578260173166,-0.21580777819337352,0.4292414705886815,0.3325144921450926
Argentina,1.0780107480775443,0.08427741211735551,-1.1816403738245391,0.11880371154603273,2.2596511219020834
Armenia,0.23913532035237234,0.1191149185058442,-0.0133509738909885,0.09598345076852205,0.25248629424336083
Artsakh,0.28337556865249897,0.27608904729863504,-0.07697132424875702,0.3472925616219912,0.360346892901256
Aruba,-0.5362366546591069,0.1876621598749397,0.7125265056831751,0.15022697922087336,-1.248763160342282
Australia,0.6792595669355277,0.09017579156177873,-0.7073287547102696,0.1203527931182291,1.3865883216457973
Austria,0.5552812279681143,0.10178961622682939,-0.5154888341588253,0.10815067951111447,1.0707700621269396
Aymara,-0.15880432852766363,0.464868643516487,0.26222932385709413,0.4875441983572306,-0.42103365238475776
Azerbaijan,-0.13924415048251668,0.13199821795015867,-0.22394678491279876,0.10319572050547056,0.08470263443028209
Bahamas,-0.9492028062347352,0.20550188258015753,0.9366895385507763,0.16377508547565936,-1.8858923447855114
Bahrain,0.16801032003878094,0.09055867462470198,-0.28684987353535535,0.10187158168368168,0.4548601935741363
Bangladesh,-0.985811862248595,0.15000573579345922,0.5675571546145475,0.11465693212594293,-1.5533690168631424
Barawa,-0.4033930171403963,0.2933743741414051,0.9793890467805295,0.23219247309478752,-1.3827820639209258
Barbados,-0.5037785530002684,0.1439170834391337,0.4290277739692102,0.12375726592670162,-0.9328063269694786
Basque Country,0.7819212642450996,0.26615833790065574,-0.49059632631865674,0.33337656857505427,1.2725175905637562
Belarus,0.1829101909498417,0.1178486825655758,-0.3108286259983159,0.10392230432540991,0.4937388169481576
Belgium,1.0042982247384318,0.08143287902837124,-0.7857710806870658,0.1124605546507053,1.7900693054254977
Belize,-0.4594580077810407,0.17785369112308141,0.2553141338633386,0.14525817242767974,-0.7147721416443793
Benin,0.09590362423542287,0.13791273058265036,-0.18407686265336226,0.1301927870973009,0.27998048688878513
Bermuda,0.07657781535289655,0.13397978754882908,0.2751818722411881,0.14435456250119053,-0.19860405688829158
Bhutan,-1.0701157025256074,0.2350940738765424,1.481740289015555,0.11830695741899008,-2.5518559915411627
Biafra,-0.3170582646185641,0.42007432183272353,-0.3290505780344357,0.5309807300686367,0.011992313415871592
Bolivia,0.4401273309734113,0.12456825031610343,-0.30704020711545416,0.09454560782042522,0.7471675380888654
Bonaire,-0.46895291637914976,0.20263957332894394,0.9905836910582536,0.2017197671069847,-1.4595366074374034
Bosnia and Herzegovina,0.4702730422700572,0.10777121050502439,-0.5160495536758931,0.11124524769500291,0.9863225959459503
Botswana,-0.22881488402477873,0.13743023584723688,-0.27926824158300473,0.12766315194533806,0.050453357558226
Brazil,1.2213834222733342,0.07749122668524928,-1.4214470059980602,0.13062094443148145,2.6428304282713944
British Virgin Islands,-1.1344815364369776,0.22432548501345606,1.3569212998679991,0.12876568532521132,-2.4914028363049767
Brittany,-0.006116350713198299,0.4583847974539779,-0.10268393988893113,0.5396506822265679,0.09656758917573283
Brunei,-0.855658256216461,0.19689418329518787,1.1335651206204371,0.1617151297828895,-1.989223376836898
Bulgaria,0.3089440244808842,0.116974488399381,-0.39934721211524365,0.10619965481646548,0.7082912365961278
Burkina Faso,0.21272622259420035,0.10899996247700218,-0.4264307009725746,0.11338194034280777,0.6391569235667749
Burundi,-0.08107007623499425,0.13684423862652476,-0.06451128079060005,0.1333965964385662,-0.016558795444394203
Cambodia,-0.7936273216673885,0.14138324763910967,1.0042996032530356,0.09914979784374325,-1.7979269249204242
Cameroon,0.2588352528188363,0.10246780423049143,-0.6741827169210021,0.11617417963623058,0.9330179697398384
Canada,0.5610553024226963,0.09577342884509464,-0.60546248244782,0.12358933264801915,1.1665177848705164
Canary Islands,0.0924417441492984,0.5052956756033695,-0.09172468835027175,0.6220234546124422,0.18416643249957015
Cape Verde,0.16939939628364678,0.13437165462305845,-0.38572163315891606,0.14621592973137626,0.5551210294425628
Cascadia,0.2980730827514473,0.278497329513635,0.2466308163586104,0.34599154019092554,0.05144226639283689
Catalonia,0.5758453752814272,0.3183537056003821,-0.40156431252941316,0.34321400768762456,0.9774096878108404
Cayman Islands,-0.9829239602883191,0.22225162878245328,0.8559008980661656,0.15612471612448106,-1.8388248583544846
Central African Republic,-0.07142648086056769,0.1900651676543433,0.08371225610086244,0.14624769437762558,-0.15513873696143013
Chad,-0.24138375947318735,0.2245314473718974,0.2631669195546711,0.1647747877269814,-0.5045506790278584
Chagos Islands,-0.1833211807735438,0.3053472395783131,1.2644501439890825,0.21750805264704837,-1.4477713247626263
Chameria,0.2860276586480174,0.37024521417996675,-0.4356287098186359,0.4368034882530145,0.7216563684666533
Chile,0.7181377072164741,0.09820376431708809,-0.7794200811869644,0.10020127817310046,1.4975577884034386
China PR,0.2983886677116841,0.09446223639323566,-0.36738270624761765,0.10932634143331763,0.6657713739593017
Colombia,0.7630071535734629,0.10062511452915833,-1.1082425171680057,0.11868768665122087,1.8712496707414688
Comoros,-0.21924135853944474,0.17006990237227004,0.03353732541695065,0.14465628307186545,-0.25277868395639536
Congo,0.02275474288532656,0.1380095264028007,-0.06910070061104077,0.12176271712165553,0.09185544349636733
