date,tournament,team,opponent,location,result,score,opp_score,pred_score,pred_opp_score,D,L,W,is_draw,is_win,is_loss
2022-11-20,FIFA World Cup,Qatar,Ecuador,1,L,0,2,1.2075299442764988,1.3085345357603018,0.2888265,0.3786712,0.3325023,0,0,1
2022-11-20,FIFA World Cup,Ecuador,Qatar,-1,W,2,0,1.3085368363368235,1.207521871547672,0.2888267,0.3324998,0.3786735,0,1,0
2022-11-21,FIFA World Cup,Senegal,Netherlands,0,L,0,2,0.991096954570345,1.6427842152154604,0.265837,0.510608,0.223555,0,0,1
2022-11-21,FIFA World Cup,England,Iran,0,W,6,2,1.3961347724550137,1.038236546634176,0.2891102,0.2727740,0.4381158,0,1,0
2022-11-21,FIFA World Cup,United States,Wales,0,D,1,1,1.367733718692675,0.7989195137189737,0.2988149,0.2134140,0.4877711,1,0,0
2022-11-21,FIFA World Cup,Netherlands,Senegal,0,W,2,0,1.6428120512918012,0.9910899530328781,0.2658343,0.2235495,0.5106162,0,1,0
2022-11-21,FIFA World Cup,Iran,England,0,L,2,6,1.0382479351747707,1.39610168992031,0.2891130,0.4381046,0.2727825,0,0,1
2022-11-21,FIFA World Cup,Wales,United States,0,D,1,1,0.7989304461810187,1.3677317204881665,0.2988150,0.4877678,0.2134173,1,0,0
2022-11-22,FIFA World Cup,Argentina,Saudi Arabia,0,L,1,2,1.8592199837125092,0.49298588617219297,0.22309069,0.08940505,0.68750426,0,0,1
2022-11-22,FIFA World Cup,Mexico,Poland,0,D,0,0,1.5872802192359616,1.0524780227265893,0.2707623,0.2463519,0.4828858,1,0,0
2022-11-22,FIFA World Cup,Denmark,Tunisia,0,D,0,0,1.4312192136194777,1.03581881483795,0.2858391,0.2664007,0.4477602,1,0,0
2022-11-22,FIFA World Cup,France,Australia,0,W,4,1,1.5430631772969479,1.1445797687329264,0.2730153,0.2757133,0.4512714,0,1,0
2022-11-22,FIFA World Cup,Saudi Arabia,Argentina,0,W,2,1,0.4929683769286817,1.8591774691516045,0.22309519,0.68750042,0.08940439,0,1,0
2022-11-22,FIFA World Cup,Poland,Mexico,0,D,0,0,1.0524824582642278,1.5872654830346016,0.2707636,0.4828812,0.2463551,1,0,0
