date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
1998-06-10,FIFA World Cup,Morocco,Norway,0,D,2,2,1,NA,Montpellier,France,TRUE,25.714285714285715,70.71428571428571,1,0
1998-06-10,FIFA World Cup,Norway,Morocco,0,D,2,2,1,NA,Montpellier,France,TRUE,27.76923076923077,76.15384615384616,0,0
1998-06-15,FIFA World Cup,England,Tunisia,0,W,2,0,3,NA,Marseille,France,TRUE,27.416666666666668,82.5,1,0
1998-06-15,FIFA World Cup,Tunisia,England,0,L,0,2,0,NA,Marseille,France,TRUE,25.785714285714285,70.71428571428572,3,0
2005-06-25,Confederations Cup,Germany,Brazil,1,L,2,3,0,NA,Nuremberg,Germany,FALSE,25.285714285714285,70.71428571428571,2,0
2005-06-25,Confederations Cup,Brazil,Germany,-1,W,3,2,3,NA,Nuremberg,Germany,FALSE,25.928571428571427,70.71428571428572,4,0
2017-01-14,Friendly,Cambodia,Saudi Arabia,0,L,2,7,0,NA,Abu Dhabi,United Arab Emirates,TRUE,20.647058823529413,58.23529411764705,0,0
2017-01-14,Friendly,Saudi Arabia,Cambodia,0,W,7,2,3,NA,Abu Dhabi,United Arab Emirates,TRUE,27.823529411764707,58.23529411764706,0,0
2017-01-17,Friendly,Qatar,Moldova,1,D,1,1,1,NA,Doha,Qatar,FALSE,26.3,49.5,1,0
2017-01-17,Friendly,Moldova,Qatar,-1,D,1,1,1,NA,Doha,Qatar,FALSE,27.61111111111111,55,1,0
2017-01-22,Friendly,Bermuda,Canada,1,L,2,4,0,NA,Hamilton,Bermuda,FALSE,21.941176470588236,58.23529411764706,0,0
2017-01-22,Friendly,Canada,Bermuda,-1,W,4,2,3,NA,Hamilton,Bermuda,FALSE,25.352941176470587,58.23529411764706,0,0
2017-01-23,Friendly,Uzbekistan,Georgia,0,D,2,2,1,NA,Dubai,United Arab Emirates,TRUE,24.785714285714285,70.64285714285714,1,1
2017-01-23,Friendly,Georgia,Uzbekistan,0,D,2,2,1,NA,Dubai,United Arab Emirates,TRUE,23.941176470588236,58.23529411764705,2,0
2017-01-25,Friendly,Jordan,Georgia,0,W,1,0,3,NA,Dubai,United Arab Emirates,TRUE,26.066666666666666,61.46666666666667,2,0
2017-01-25,Friendly,Georgia,Jordan,0,L,0,1,0,NA,Dubai,United Arab Emirates,TRUE,24.470588235294116,58.23529411764706,3,0
2017-01-29,Friendly,United States,Serbia,1,D,0,0,1,NA,San Diego,United States,FALSE,28.529411764705884,58.23529411764706,1,0
2017-01-29,Friendly,Serbia,United States,-1,D,0,0,1,NA,San Diego,United States,FALSE,23.529411764705884,58.23529411764706,1,0
2017-02-08,Friendly,Mexico,Iceland,0,W,1,0,3,NA,Las Vegas,United States,TRUE,26.058823529411764,58.23529411764706,0,0
2017-02-08,Friendly,Iceland,Mexico,0,L,0,1,0,NA,Las Vegas,United States,TRUE,23.58823529411765,58.23529411764705,1,0
2017-03-09,Friendly,Qatar,Azerbaijan,1,L,1,2,0,NA,Doha,Qatar,FALSE,26.235294117647058,58.23529411764706,1,0
2017-03-09,Friendly,Azerbaijan,Qatar,-1,W,2,1,3,NA,Doha,Qatar,FALSE,25.294117647058822,58.23529411764706,1,0
2017-03-11,Friendly,Burundi,Djibouti,1,W,7,0,3,NA,Bujumbura,Burundi,FALSE,21.153846153846153,76.15384615384616,1,0
2017-03-11,Friendly,Djibouti,Burundi,-1,L,0,7,0,NA,Bujumbura,Burundi,FALSE,25,66,2,0
2017-03-19,Friendly,San Marino,Moldova,1,L,0,2,0,NA,Serravalle,San Marino,FALSE,26.705882352941178,58.23529411764706,2,0
2017-03-19,Friendly,Moldova,San Marino,-1,W,2,0,3,NA,Serravalle,San Marino,FALSE,28,58.23529411764705,0,0
2005-06-26,Confederations Cup,Mexico,Argentina,0,D,1,1,1,NA,Hanover,Germany,TRUE,26.428571428571427,92.07142857142857,5,1
2005-06-26,Confederations Cup,Argentina,Mexico,0,D,1,1,1,NA,Hanover,Germany,TRUE,25.142857142857142,92.07142857142858,2,1
2017-03-21,Friendly,Indonesia,Myanmar,1,L,1,3,0,NA,Cibinong,Indonesia,FALSE,19.823529411764707,58.23529411764706,1,0
2017-03-21,Friendly,Myanmar,Indonesia,-1,W,3,1,3,NA,Cibinong,Indonesia,FALSE,23.928571428571427,70.71428571428571,0,0
2017-03-22,Friendly,Cambodia,India,1,L,2,3,0,NA,Phnom Penh,Cambodia,FALSE,22.5,61.875,0,0
2017-03-22,Friendly,India,Cambodia,-1,W,3,2,3,NA,Phnom Penh,Cambodia,FALSE,25.58823529411765,58.23529411764706,0,0
2017-03-22,Friendly,Cyprus,Kazakhstan,1,W,3,1,3,NA,Larnaca,Cyprus,FALSE,25.58823529411765,58.23529411764706,1,0
2017-03-22,Friendly,Kazakhstan,Cyprus,-1,L,1,3,0,NA,Larnaca,Cyprus,FALSE,25,61.875,2,0
2017-03-22,Friendly,Germany,England,1,W,1,0,3,NA,Dortmund,Germany,FALSE,24.533333333333335,66,0,0
2017-03-22,Friendly,England,Germany,-1,L,0,1,0,NA,Dortmund,Germany,FALSE,24.88235294117647,58.23529411764705,0,0
2017-03-22,Friendly,Philippines,Malaysia,1,D,0,0,1,NA,Manila,Philippines,FALSE,26,58.23529411764706,2,0
